# step rho_core(r<5) rho_core(r<10) rho_core(r<15) total_norm
2540 0.0276784 0.105288 0.309473 0.999192
2550 0.0276012 0.103743 0.30576 0.999187
2560 0.0275155 0.10228 0.302031 0.999184
2570 0.0274196 0.100894 0.29829 0.999181
2580 0.027312 0.0995774 0.29454 0.999182
2590 0.0271912 0.0983225 0.290785 0.999178
2600 0.027056 0.0971232 0.28703 0.999175
2610 0.0269055 0.0959738 0.283278 0.99917
2620 0.0267389 0.0948698 0.279535 0.999167
2630 0.0265557 0.093808 0.275801 0.999163
2640 0.0263556 0.0927857 0.27208 0.999162
2650 0.0261389 0.0918011 0.268372 0.999157
2660 0.0259063 0.0908528 0.264679 0.99915
2670 0.0256591 0.0899399 0.261 0.999151
2680 0.0253987 0.0890618 0.25734 0.999146
2690 0.0251273 0.0882176 0.253698 0.999146
2700 0.024847 0.0874068 0.250077 0.999138
2710 0.0245599 0.086628 0.246482 0.999137
2720 0.0242679 0.0858788 0.242913 0.999134
2730 0.0239724 0.0851558 0.239376 0.99913
2740 0.0236744 0.0844538 0.235872 0.999127
2750 0.0233745 0.0837666 0.232405 0.99912
2760 0.0230728 0.0830866 0.228981 0.999121
2770 0.0227688 0.0824057 0.225602 0.999118
2780 0.0224623 0.0817158 0.222275 0.999115
2790 0.0221524 0.0810092 0.219004 0.99911
2800 0.0218389 0.0802799 0.215792 0.999107
2810 0.021521 0.0795232 0.212642 0.999106
2820 0.0211987 0.0787372 0.209555 0.999103
2830 0.0208717 0.0779222 0.20653 0.999099
2840 0.0205403 0.0770807 0.203566 0.999096
2850 0.0202049 0.0762175 0.20066 0.999089
2860 0.0198662 0.0753393 0.197809 0.999089
2870 0.0195252 0.0744537 0.195012 0.999088
2880 0.019183 0.0735691 0.192265 0.999085
2890 0.0188409 0.0726935 0.189568 0.999079
2900 0.0185003 0.0718345 0.186921 0.999077
2910 0.0181625 0.070998 0.184322 0.999073
2920 0.0178282 0.0701884 0.181773 0.999072
2930 0.0174982 0.0694083 0.179271 0.999063
