# x y rho R
126 3 0.000472725 1
127 3 0.000637569 1
0 4 0.000638387 1
1 4 0.000573348 1
2 4 0.000468516 1
3 4 0.000401167 1
4 4 0.000339891 1
5 4 0.000271954 1
6 4 0.000197616 1
7 4 0.000137621 1
8 4 9.5641e-05 1
9 4 6.3636e-05 1
10 4 4.07646e-05 1
11 4 2.47559e-05 1
12 4 1.49569e-05 1
13 4 9.61058e-06 1
14 4 7.45746e-06 1
15 4 7.34465e-06 1
16 4 8.08227e-06 1
17 4 8.63498e-06 1
18 4 8.99397e-06 1
19 4 9.68973e-06 1
20 4 1.01919e-05 1
21 4 1.00012e-05 1
22 4 9.60339e-06 1
23 4 8.69929e-06 1
24 4 6.4307e-06 1
25 4 3.58319e-06 1
26 4 1.9494e-06 1
27 4 1.87594e-06 1
28 4 2.38007e-06 1
29 4 2.42883e-06 1
30 4 1.85066e-06 1
31 4 1.0749e-06 1
32 4 4.40241e-07 1
33 4 2.58599e-07 1
34 4 5.11577e-07 1
35 4 8.58861e-07 1
36 4 1.07257e-06 1
37 4 1.1828e-06 1
38 4 1.24498e-06 1
39 4 1.26448e-06 1
40 4 1.27465e-06 1
41 4 1.3257e-06 1
42 4 1.40112e-06 1
43 4 1.51787e-06 1
44 4 1.7268e-06 1
45 4 2.03021e-06 1
46 4 2.36841e-06 1
47 4 2.7012e-06 1
48 4 3.06081e-06 1
49 4 3.47709e-06 1
50 4 3.90149e-06 1
51 4 4.22164e-06 1
52 4 4.36992e-06 1
53 4 4.37471e-06 1
54 4 4.32994e-06 1
55 4 4.30536e-06 1
56 4 4.33056e-06 1
57 4 4.39438e-06 1
58 4 4.49244e-06 1
59 4 4.61779e-06 1
60 4 4.78957e-06 1
61 4 5.00819e-06 1
62 4 5.28554e-06 1
63 4 5.60508e-06 1
64 4 5.96329e-06 1
65 4 6.33123e-06 1
66 4 6.70219e-06 1
67 4 7.04544e-06 1
68 4 7.36586e-06 1
69 4 7.63532e-06 1
70 4 7.86348e-06 1
71 4 8.03275e-06 1
72 4 8.16408e-06 1
73 4 8.24594e-06 1
74 4 8.32115e-06 1
75 4 8.40556e-06 1
76 4 8.56481e-06 1
77 4 8.81852e-06 1
78 4 9.23004e-06 1
79 4 9.81144e-06 1
80 4 1.0624e-05 1
81 4 1.16861e-05 1
82 4 1.30402e-05 1
83 4 1.46438e-05 1
84 4 1.64435e-05 1
85 4 1.83593e-05 1
86 4 2.0266e-05 1
87 4 2.19667e-05 1
88 4 2.31778e-05 1
89 4 2.37123e-05 1
90 4 2.35797e-05 1
91 4 2.31678e-05 1
92 4 2.32064e-05 1
93 4 2.47523e-05 1
94 4 2.81836e-05 1
95 4 3.23654e-05 1
96 4 3.52769e-05 1
97 4 3.56224e-05 1
98 4 3.35664e-05 1
99 4 3.12852e-05 1
100 4 3.09512e-05 1
101 4 3.24501e-05 1
102 4 3.59926e-05 1
103 4 4.52649e-05 1
104 4 6.44318e-05 1
105 4 9.63124e-05 1
106 4 0.000139479 1
107 4 0.000183531 1
108 4 0.000213784 1
109 4 0.000222621 1
110 4 0.000222046 1
111 4 0.000217167 1
112 4 0.000201272 1
113 4 0.000172601 1
114 4 0.000141897 1
115 4 0.00011517 1
116 4 0.000105123 1
117 4 0.000104172 1
118 4 8.32325e-05 1
119 4 5.77209e-05 1
120 4 5.40479e-05 1
121 4 6.21053e-05 1
122 4 8.42669e-05 1
123 4 0.000138076 1
124 4 0.000222264 1
125 4 0.000309647 1
126 4 0.000411144 1
127 4 0.000551928 1
0 5 0.000533932 1
1 5 0.000545894 1
2 5 0.000442612 1
3 5 0.000357399 1
4 5 0.000313066 1
5 5 0.000265989 1
6 5 0.000208684 1
7 5 0.000152323 1
8 5 0.000108664 1
9 5 7.52548e-05 1
10 5 4.95324e-05 1
11 5 3.18489e-05 1
12 5 2.00877e-05 1
13 5 1.28901e-05 1
14 5 9.0386e-06 1
15 5 7.59724e-06 1
16 5 7.53869e-06 1
17 5 8.3722e-06 1
18 5 9.1372e-06 1
19 5 9.30574e-06 1
20 5 9.6718e-06 1
21 5 1.0178e-05 1
22 5 9.96876e-06 1
23 5 9.53831e-06 1
24 5 9.29273e-06 1
25 5 7.92547e-06 1
26 5 5.22803e-06 1
27 5 3.02992e-06 1
28 5 2.24308e-06 1
29 5 2.25305e-06 1
30 5 2.14373e-06 1
31 5 1.57263e-06 1
32 5 1.07822e-06 1
33 5 9.31069e-07 1
34 5 9.30944e-07 1
35 5 9.25096e-07 1
36 5 9.05035e-07 1
37 5 8.77147e-07 1
38 5 8.7134e-07 1
39 5 9.26927e-07 1
40 5 1.02735e-06 1
41 5 1.13233e-06 1
42 5 1.26216e-06 1
43 5 1.43335e-06 1
44 5 1.6209e-06 1
45 5 1.80741e-06 1
46 5 2.01837e-06 1
47 5 2.28297e-06 1
48 5 2.5773e-06 1
49 5 2.86444e-06 1
50 5 3.13884e-06 1
51 5 3.43885e-06 1
52 5 3.78191e-06 1
53 5 4.14127e-06 1
54 5 4.45959e-06 1
55 5 4.70428e-06 1
56 5 4.87051e-06 1
57 5 4.98635e-06 1
58 5 5.07258e-06 1
59 5 5.15525e-06 1
60 5 5.23813e-06 1
61 5 5.32855e-06 1
62 5 5.41879e-06 1
63 5 5.51724e-06 1
64 5 5.61969e-06 1
65 5 5.73464e-06 1
66 5 5.85702e-06 1
67 5 5.99662e-06 1
68 5 6.14487e-06 1
69 5 6.3113e-06 1
