# R rho
1 4.91296e-06
1 5.07353e-06
1 5.18936e-06
1 5.2713e-06
1 5.3336e-06
1 5.38605e-06
1 5.43549e-06
1 5.48701e-06
1 5.5434e-06
1 5.60708e-06
1 5.67957e-06
1 5.75993e-06
1 5.84884e-06
1 5.94768e-06
1 6.04938e-06
1 6.15609e-06
1 6.2617e-06
1 6.36663e-06
1 6.46398e-06
1 6.58003e-06
1 6.74757e-06
1 7.05623e-06
1 7.60127e-06
1 8.51115e-06
1 9.87591e-06
1 1.18155e-05
1 1.44191e-05
1 1.76978e-05
1 2.13745e-05
1 2.48218e-05
1 2.72004e-05
1 2.78299e-05
1 2.63821e-05
1 2.31542e-05
1 1.93832e-05
1 1.69843e-05
1 1.75905e-05
1 2.19397e-05
1 2.9397e-05
1 3.72933e-05
1 4.13659e-05
1 4.0425e-05
1 3.97572e-05
1 4.84041e-05
1 6.78984e-05
1 9.20319e-05
1 0.000116424
1 0.00013358
1 0.000133196
1 0.000122607
1 0.000115554
1 0.000101634
1 8.13027e-05
1 5.91488e-05
1 4.29588e-05
1 5.4467e-05
1 0.000111245
1 0.000198906
1 0.000274393
1 0.000279102
1 0.000206359
1 0.000135056
1 0.000107919
1 0.000118254
1 0.000150788
1 0.000187504
1 0.000230956
1 0.000284095
1 0.000326434
1 0.0002546
1 0.000305503
1 0.000360554
1 0.000324398
1 0.000261857
1 0.000239522
1 0.000220342
1 0.000188891
1 0.000146991
1 0.000106215
1 7.42137e-05
1 4.9726e-05
1 3.43503e-05
1 2.38009e-05
1 1.5457e-05
1 9.50879e-06
1 6.37532e-06
1 5.84696e-06
1 6.60216e-06
1 7.88522e-06
1 9.3695e-06
1 1.04886e-05
1 1.11612e-05
1 1.10834e-05
1 1.09076e-05
1 1.13037e-05
1 1.26098e-05
1 1.36414e-05
1 1.2832e-05
1 9.72702e-06
1 5.92938e-06
1 3.35852e-06
1 2.34279e-06
1 2.16677e-06
1 2.02931e-06
1 1.70657e-06
1 1.30418e-06
1 1.04152e-06
1 1.11786e-06
1 1.28208e-06
1 1.42501e-06
1 1.57646e-06
1 1.71928e-06
1 1.83571e-06
1 1.90703e-06
1 1.95589e-06
1 2.00398e-06
1 2.07858e-06
1 2.16731e-06
1 2.25652e-06
1 2.35312e-06
1 2.47221e-06
1 2.6233e-06
1 2.80064e-06
1 2.99469e-06
1 3.19099e-06
1 3.38151e-06
1 3.55503e-06
1 3.71582e-06
1 3.85542e-06
1 3.97919e-06
1 4.08176e-06
1 4.1715e-06
1 4.24153e-06
1 4.30101e-06
1 4.34185e-06
1 4.37115e-06
1 4.38394e-06
1 4.38618e-06
1 4.37578e-06
1 4.35877e-06
1 4.34033e-06
1 4.3311e-06
1 4.34207e-06
1 4.39583e-06
1 4.5151e-06
1 4.72021e-06
1 5.04191e-06
1 5.50728e-06
1 6.18284e-06
1 7.18459e-06
1 8.72585e-06
1 1.10113e-05
1 1.41709e-05
1 1.81069e-05
1 2.24971e-05
1 2.66948e-05
1 2.98686e-05
1 3.11135e-05
1 3.00654e-05
1 2.7006e-05
1 2.2851e-05
1 1.90696e-05
1 1.79178e-05
1 2.11279e-05
1 2.85085e-05
1 3.77803e-05
1 4.74772e-05
1 5.67268e-05
1 6.43408e-05
1 7.14771e-05
1 8.32754e-05
1 0.000100052
1 0.000110687
1 0.000105958
1 9.12265e-05
1 8.30173e-05
1 7.74734e-05
1 6.86278e-05
1 5.46311e-05
1 3.7242e-05
1 3.59766e-05
1 7.71098e-05
1 0.000162616
1 0.000248401
1 0.000293678
1 0.000290555
1 0.000248666
1 0.00019144
1 0.000156823
1 0.000151036
1 0.000160872
1 0.000178877
1 0.000190923
1 0.000209684
1 0.000235418
1 0.000166567
1 0.000194888
1 0.000257043
1 0.000292811
1 0.000257993
1 0.000225612
1 0.00021807
1 0.000201527
1 0.000168583
1 0.000127091
1 9.1761e-05
1 6.44119e-05
1 4.39271e-05
1 2.98221e-05
1 1.9723e-05
1 1.2038e-05
1 6.76502e-06
1 4.63589e-06
1 4.87893e-06
1 6.18085e-06
1 7.77967e-06
1 9.5421e-06
1 1.05074e-05
1 1.10531e-05
1 1.22199e-05
1 1.39762e-05
1 1.51107e-05
1 1.60725e-05
1 1.67936e-05
1 1.58239e-05
1 1.25366e-05
1 8.2305e-06
1 4.81871e-06
1 3.05217e-06
1 2.52497e-06
1 2.45327e-06
1 2.3479e-06
1 2.06441e-06
1 1.77134e-06
1 1.59299e-06
1 1.53898e-06
1 1.57499e-06
1 1.65513e-06
1 1.70437e-06
1 1.71142e-06
1 1.6822e-06
1 1.66058e-06
1 1.67361e-06
1 1.71971e-06
1 1.78497e-06
1 1.88531e-06
1 2.04516e-06
1 2.24979e-06
1 2.46118e-06
1 2.63653e-06
1 2.76676e-06
1 2.85521e-06
1 2.92589e-06
1 2.99303e-06
1 3.07227e-06
1 3.15883e-06
1 3.25935e-06
1 3.36406e-06
1 3.47563e-06
1 3.58307e-06
1 3.68647e-06
1 3.77322e-06
1 3.84549e-06
1 3.89435e-06
1 3.9239e-06
1 3.92699e-06
1 3.91782e-06
1 3.89654e-06
1 3.87678e-06
1 3.86837e-06
1 3.89679e-06
1 3.97005e-06
1 4.11228e-06
1 4.34328e-06
1 4.70314e-06
1 5.26207e-06
1 6.13176e-06
1 7.4564e-06
1 9.37891e-06
1 1.2042e-05
1 1.54964e-05
1 1.966e-05
1 2.4183e-05
1 2.84965e-05
1 3.18393e-05
1 3.35162e-05
1 3.29562e-05
1 3.0311e-05
1 2.66148e-05
1 2.34776e-05
1 2.25711e-05
1 2.59236e-05
1 3.5277e-05
1 5.08083e-05
1 6.91142e-05
1 8.48781e-05
1 9.60887e-05
1 0.000102557
1 0.00010577
1 0.000107372
1 0.000103874
1 9.14893e-05
1 8.24488e-05
1 8.11987e-05
1 7.83069e-05
1 7.09797e-05
1 5.36105e-05
1 3.69441e-05
1 4.8338e-05
1 0.000106827
1 0.000178786
1 0.000225373
1 0.000242798
1 0.000248662
1 0.0002458
1 0.000223814
1 0.000195891
1 0.000181531
1 0.000171119
1 0.000158603
1 0.000156721
1 0.000150486
1 0.000150813
1 0.000101938
1 0.000124171
1 0.000158681
1 0.000225155
1 0.0002534
1 0.000224452
1 0.000212646
1 0.000208038
1 0.000186152
1 0.000150909
1 0.000113152
1 8.21459e-05
1 5.56681e-05
1 3.69636e-05
1 2.43187e-05
1 1.49704e-05
1 8.24765e-06
1 3.92031e-06
1 2.76678e-06
1 3.99116e-06
1 6.03916e-06
1 7.50011e-06
1 8.97756e-06
1 1.13024e-05
1 1.3983e-05
1 1.62246e-05
1 1.82524e-05
1 1.90964e-05
1 1.82553e-05
1 1.70472e-05
1 1.61256e-05
1 1.44836e-05
1 1.13225e-05
1 7.63483e-06
1 4.84428e-06
1 3.45334e-06
1 3.07183e-06
1 3.04553e-06
1 2.988e-06
1 2.77399e-06
1 2.49855e-06
1 2.22292e-06
1 2.00156e-06
1 1.82314e-06
1 1.69221e-06
1 1.61448e-06
1 1.59635e-06
1 1.6223e-06
1 1.73357e-06
1 1.9433e-06
1 2.21568e-06
1 2.46836e-06
1 2.68159e-06
1 2.85666e-06
1 3.02351e-06
1 3.18282e-06
1 3.34347e-06
1 3.49328e-06
1 3.64135e-06
1 3.77887e-06
1 3.91747e-06
1 4.04633e-06
1 4.17051e-06
1 4.27855e-06
1 4.37701e-06
1 4.45797e-06
1 4.52845e-06
1 4.58223e-06
1 4.63035e-06
1 4.66653e-06
1 4.69884e-06
1 4.71606e-06
1 4.72558e-06
1 4.71638e-06
1 4.69699e-06
1 4.6585e-06
1 4.63559e-06
1 4.65403e-06
1 4.79171e-06
1 5.13015e-06
1 5.80261e-06
1 6.92197e-06
1 8.64053e-06
1 1.10713e-05
1 1.4321e-05
1 1.83611e-05
1 2.30364e-05
1 2.79019e-05
1 3.23136e-05
1 3.54703e-05
1 3.68947e-05
1 3.65298e-05
1 3.49108e-05
1 3.3129e-05
1 3.3104e-05
1 3.64921e-05
1 4.38338e-05
1 5.46403e-05
1 6.87372e-05
1 8.53552e-05
1 0.000103338
1 0.000118555
1 0.00012796
1 0.000131471
1 0.000126645
1 0.000114539
1 0.000106984
1 0.000113424
