# Field snapshot at t = 80 seconds
# Grid: 64 x 64
# Columns: x  y  theta  R  mass  |psi|^2  psi_0_real  psi_0_imag  psi_1_real  psi_1_imag  psi_2_real  psi_2_imag  psi_3_real  psi_3_imag
55  1  0.015594  0.999508  2.498770  0.000562  0.009536  -0.006280  -0.014580  -0.001817  -0.009128  0.002956  -0.010880  -0.002319
56  1  0.040173  0.999500  2.498750  0.000282  -0.000887  0.004055  -0.002054  0.012517  0.000966  -0.006393  0.003463  -0.007088
57  1  -0.018126  0.999338  2.498346  0.000140  -0.003101  -0.002142  0.008754  -0.003882  0.005241  0.000596  -0.002487  0.000529
58  1  0.009814  0.999568  2.498920  0.000238  -0.000401  -0.003484  -0.008244  0.004356  -0.006828  0.003917  0.008009  0.003497
59  1  -0.027715  0.999530  2.498826  0.000127  -0.004863  -0.005430  -0.004543  -0.000921  -0.004730  0.004341  0.002540  -0.002220
60  1  -0.032587  0.999537  2.498842  0.000237  -0.003263  -0.004629  0.008520  0.005455  -0.009219  -0.002166  0.001123  -0.003417
61  1  -0.045761  0.999531  2.498827  0.000320  0.000393  -0.014223  0.002910  0.000890  -0.000424  -0.000803  0.009485  -0.004182
62  1  -0.030966  0.999309  2.498273  0.000268  0.000885  0.000768  0.001489  0.000177  0.004169  -0.005268  0.001217  -0.014749
63  1  -0.082818  0.999263  2.498159  0.000164  0.005891  0.002966  0.006940  -0.001808  0.005670  -0.002329  0.005417  0.001294
0  2  -0.004907  0.999329  2.498323  0.000237  -0.007672  0.001288  -0.008796  0.000044  0.003747  0.002919  0.008610  0.001516
1  2  0.014489  0.999723  2.499308  0.000240  0.006394  -0.005296  -0.008886  0.004376  -0.000481  0.004685  0.002174  0.006755
2  2  0.014251  0.999784  2.499459  0.000358  -0.007114  0.005974  0.003371  -0.003268  -0.007787  0.004298  -0.010850  -0.007249
3  2  0.010599  0.999820  2.499551  0.000197  -0.005603  -0.008773  0.001361  -0.004284  0.004491  -0.004806  -0.004243  -0.002657
4  2  -0.003390  0.999747  2.499367  0.000248  -0.008643  0.006532  -0.009544  0.002177  -0.000701  -0.000882  -0.001088  -0.005700
5  2  -0.016122  0.999599  2.498998  0.000055  -0.002111  -0.002059  -0.000091  -0.004498  -0.001160  -0.001886  0.002494  -0.003804
6  2  0.034322  0.999472  2.498679  0.000494  -0.014553  -0.000845  -0.002535  0.007431  -0.002785  0.001224  -0.007288  -0.012559
7  2  0.030826  0.999192  2.497980  0.000130  -0.003190  -0.004694  0.001242  0.000874  -0.006801  0.003827  -0.002841  0.005140
8  2  0.078532  0.999657  2.499142  0.000123  -0.004640  0.000869  0.003223  -0.002722  -0.001860  -0.001366  -0.003117  0.008225
9  2  0.040768  0.999801  2.499502  0.000280  0.000403  -0.006463  0.010933  -0.005646  -0.004148  -0.001804  0.004999  0.006390
10  2  0.038648  0.999734  2.499336  0.000200  -0.004788  0.006389  -0.002776  0.007302  0.002541  -0.004130  0.001038  0.007110
11  2  0.066451  0.999628  2.499071  0.000149  0.004489  -0.001201  0.006462  0.001910  0.004377  0.000738  -0.007373  0.002873
12  2  0.016320  0.999222  2.498055  0.000186  -0.004346  0.003519  0.003638  -0.005167  0.001558  0.009681  0.003784  -0.002050
13  2  -0.036763  0.999142  2.497855  0.000100  0.007250  0.001516  0.005675  0.002094  0.000128  0.001602  0.002418  0.000203
14  2  -0.056681  0.999322  2.498305  0.000033  -0.001998  -0.000018  -0.000278  -0.003381  0.002285  -0.001683  -0.001769  0.002484
15  2  -0.024373  0.999495  2.498739  0.000409  -0.003290  -0.005411  -0.005013  -0.002427  -0.010330  0.008281  0.007078  0.010600
16  2  0.009235  0.999452  2.498629  0.000258  0.003833  0.003809  -0.009032  0.005325  -0.003915  -0.001091  -0.008263  -0.005800
17  2  -0.066588  0.999301  2.498253  0.000729  -0.008238  -0.021766  -0.010173  -0.005755  0.003784  -0.004332  -0.000806  0.004100
18  2  0.013318  0.999624  2.499060  0.000395  -0.011001  0.005361  0.014931  0.001243  0.000034  0.000190  0.001025  -0.004482
19  2  -0.044185  0.999649  2.499123  0.000317  -0.004572  -0.002698  0.002031  0.004869  0.000288  -0.014700  -0.003662  -0.005639
20  2  -0.016450  0.999376  2.498439  0.000109  0.004986  0.004755  0.002876  0.002758  -0.001163  0.002038  0.005045  0.003823
21  2  0.021251  0.999303  2.498259  0.000180  -0.003474  0.002979  0.007873  -0.007178  0.000359  -0.003841  -0.004681  -0.002960
22  2  0.005532  0.999105  2.497761  0.000351  -0.008433  0.007544  0.003641  -0.012799  0.005023  0.002032  0.004102  0.000225
23  2  0.001604  0.999419  2.498546  0.000205  -0.000743  0.001246  0.001078  -0.002636  0.000024  0.003547  -0.004350  -0.012786
24  2  0.021001  0.999209  2.498022  0.000065  0.003227  -0.003360  0.005723  0.000854  -0.000919  0.000694  0.000575  -0.002835
25  2  0.023831  0.999659  2.499149  0.000103  0.002898  -0.001411  0.002545  0.004538  -0.004468  -0.005661  0.000691  -0.003573
26  2  0.038360  0.999365  2.498414  0.000260  -0.001205  -0.001120  -0.000356  0.000832  0.005819  0.002556  -0.014410  -0.002848
27  2  -0.034921  0.999491  2.498727  0.000113  0.001715  0.000490  -0.002021  -0.004609  -0.001923  0.008564  -0.000237  -0.002808
28  2  0.001811  0.999509  2.498771  0.000351  -0.002547  0.006724  -0.011183  -0.007666  -0.007425  0.004157  0.005449  -0.003647
29  2  -0.064757  0.999181  2.497952  0.000208  -0.002800  -0.004271  -0.010909  0.004179  0.003828  -0.000175  0.005376  -0.001339
30  2  0.022060  0.999158  2.497895  0.000209  0.000510  0.005273  0.001480  0.004104  0.007151  -0.007319  0.003395  0.006774
31  2  -0.011301  0.999683  2.499207  0.000166  0.004759  0.001716  -0.001625  0.005017  -0.004920  0.002034  0.008063  -0.004430
32  2  0.008446  0.999679  2.499197  0.000295  -0.002729  -0.002869  -0.006640  -0.007950  -0.003772  0.008888  -0.005395  -0.007076
33  2  -0.039903  0.999758  2.499396  0.000257  0.007071  0.003515  0.006231  -0.003747  -0.006239  0.006254  0.003236  0.007327
34  2  0.000388  0.999377  2.498443  0.000203  -0.000831  -0.000089  -0.005377  0.008474  0.003270  -0.001051  0.009358  -0.001443
35  2  -0.070597  0.999542  2.498856  0.000410  0.008414  -0.015329  -0.002580  0.002034  -0.003621  0.001096  -0.007821  -0.004180
36  2  -0.056347  0.999734  2.499336  0.000400  0.005708  0.004806  -0.002759  0.008654  0.012052  0.007000  0.007556  -0.003283
37  2  -0.061115  0.999749  2.499373  0.000221  -0.004892  -0.001363  -0.007387  -0.001949  -0.009852  -0.006151  -0.000230  -0.001470
38  2  -0.030191  0.999202  2.498004  0.000086  0.003283  -0.004470  0.002510  -0.002541  0.005196  -0.001158  0.001804  -0.003332
39  2  0.022019  0.999308  2.498270  0.000147  0.003693  -0.000511  0.005836  0.003002  0.003900  0.001346  -0.000668  0.008504
40  2  -0.034406  0.999327  2.498317  0.000380  0.008591  0.007053  -0.000032  -0.005315  0.008305  0.010096  -0.001481  0.007398
41  2  0.013375  0.999379  2.498446  0.000555  -0.003892  -0.009565  -0.014982  0.003286  -0.001939  -0.002330  0.000368  -0.014285
42  2  0.037138  0.999521  2.498802  0.000198  -0.000050  0.002017  0.009472  0.003868  -0.004016  -0.004218  -0.003252  0.006699
43  2  0.021372  0.999934  2.499835  0.000154  0.002010  0.004483  0.000345  0.004459  -0.005125  0.004789  -0.004903  0.006057
44  2  0.018248  0.999773  2.499432  0.000343  -0.000557  0.003348  0.007545  0.013870  -0.007423  -0.002628  0.003993  -0.002068
45  2  -0.029761  0.999665  2.499164  0.000139  0.002954  -0.006479  0.000273  -0.006689  0.000365  -0.000090  -0.004643  0.004675
46  2  0.037800  0.999543  2.498858  0.000176  -0.002391  -0.009687  0.002838  -0.002558  0.003050  -0.006153  0.000684  0.003805
47  2  0.014840  0.999603  2.499007  0.000240  -0.002792  -0.004649  0.006420  0.001954  0.005390  -0.009558  -0.000220  0.006680
48  2  -0.017218  0.999720  2.499301  0.000282  0.003831  0.000266  -0.000434  0.003069  -0.006121  0.014594  -0.001793  -0.002105
49  2  -0.004681  0.999883  2.499708  0.000223  0.001053  0.001994  -0.005341  0.008882  -0.009837  0.002028  -0.000075  0.003163
50  2  0.009050  0.999728  2.499321  0.000479  -0.012124  -0.001538  0.002705  0.005542  -0.002502  0.016264  0.003745  -0.002660
51  2  -0.039318  0.999659  2.499148  0.000394  0.008171  0.006654  -0.012286  -0.001885  -0.008690  -0.002945  0.006663  0.000579
52  2  -0.018892  0.999626  2.499066  0.000264  0.001978  -0.009810  -0.000604  0.003533  -0.002071  -0.004589  -0.009063  -0.006559
53  2  -0.004497  0.999785  2.499461  0.000418  -0.000508  -0.003600  0.002127  -0.005634  0.012075  -0.009448  0.001367  -0.011462
54  2  -0.009282  0.999843  2.499607  0.000489  0.005542  -0.001349  -0.000138  -0.014350  -0.014786  -0.004566  0.003358  0.000260
55  2  -0.009940  0.999888  2.499720  0.000415  -0.013448  0.001402  -0.001623  0.012528  -0.007265  -0.002091  0.003891  -0.000487
56  2  -0.000932  0.999861  2.499653  0.000212  -0.003631  0.003434  0.004345  0.004055  -0.007000  0.006689  0.005820  -0.004908
57  2  0.017838  0.999854  2.499634  0.000440  -0.008052  -0.009949  -0.005457  -0.002949  0.004147  -0.003272  -0.012125  0.007952
