# Dark Energy Evolution Data
# time, w, scale_factor, energy_density, pressure
2.03, 0.999995, 1.22507, 0.00999998, 0.00999993
2.04, 0.999995, 1.2263, 0.00999998, 0.00999993
2.05, 0.999995, 1.22752, 0.00999998, 0.00999993
2.06, 0.999995, 1.22875, 0.00999998, 0.00999993
2.07, 0.999995, 1.22998, 0.00999998, 0.00999993
2.08, 0.999995, 1.23121, 0.00999998, 0.00999993
2.09, 0.999995, 1.23244, 0.00999998, 0.00999993
2.1, 0.999995, 1.23368, 0.00999998, 0.00999993
2.11, 0.999995, 1.23491, 0.00999998, 0.00999993
2.12, 0.999995, 1.23615, 0.00999998, 0.00999993
2.13, 0.999995, 1.23738, 0.00999998, 0.00999993
2.14, 0.999995, 1.23862, 0.00999998, 0.00999992
2.15, 0.999995, 1.23986, 0.00999997, 0.00999992
2.16, 0.999995, 1.2411, 0.00999997, 0.00999992
2.17, 0.999995, 1.24234, 0.00999997, 0.00999992
2.18, 0.999995, 1.24359, 0.00999997, 0.00999992
2.19, 0.999995, 1.24483, 0.00999997, 0.00999992
2.2, 0.999995, 1.24608, 0.00999997, 0.00999992
2.21, 0.999995, 1.24732, 0.00999997, 0.00999992
2.22, 0.999995, 1.24857, 0.00999997, 0.00999992
2.23, 0.999995, 1.24982, 0.00999997, 0.00999992
2.24, 0.999995, 1.25107, 0.00999997, 0.00999992
2.25, 0.999994, 1.25232, 0.00999997, 0.00999992
2.26, 0.999994, 1.25358, 0.00999997, 0.00999992
2.27, 0.999994, 1.25483, 0.00999997, 0.00999992
2.28, 0.999994, 1.25609, 0.00999997, 0.00999992
2.29, 0.999994, 1.25734, 0.00999997, 0.00999991
2.3, 0.999994, 1.2586, 0.00999997, 0.00999991
2.31, 0.999994, 1.25986, 0.00999997, 0.00999991
2.32, 0.999994, 1.26112, 0.00999997, 0.00999991
2.33, 0.999994, 1.26238, 0.00999997, 0.00999991
2.34, 0.999994, 1.26364, 0.00999997, 0.00999991
2.35, 0.999994, 1.26491, 0.00999997, 0.00999991
2.36, 0.999994, 1.26617, 0.00999997, 0.00999991
2.37, 0.999994, 1.26744, 0.00999997, 0.00999991
2.38, 0.999994, 1.26871, 0.00999997, 0.00999991
2.39, 0.999994, 1.26998, 0.00999997, 0.00999991
2.4, 0.999994, 1.27125, 0.00999997, 0.00999991
2.41, 0.999994, 1.27252, 0.00999997, 0.00999991
2.42, 0.999994, 1.27379, 0.00999997, 0.0099999
2.43, 0.999994, 1.27507, 0.00999997, 0.0099999
2.44, 0.999994, 1.27634, 0.00999997, 0.0099999
2.45, 0.999993, 1.27762, 0.00999997, 0.0099999
2.46, 0.999993, 1.2789, 0.00999997, 0.0099999
2.47, 0.999993, 1.28018, 0.00999997, 0.0099999
2.48, 0.999993, 1.28146, 0.00999997, 0.0099999
2.49, 0.999993, 1.28274, 0.00999997, 0.0099999
2.5, 0.999993, 1.28403, 0.00999997, 0.0099999
2.51, 0.999993, 1.28531, 0.00999997, 0.0099999
2.52, 0.999993, 1.2866, 0.00999997, 0.0099999
2.53, 0.999993, 1.28788, 0.00999997, 0.0099999
2.54, 0.999993, 1.28917, 0.00999997, 0.0099999
2.55, 0.999993, 1.29046, 0.00999996, 0.00999989
2.56, 0.999993, 1.29175, 0.00999996, 0.00999989
2.57, 0.999993, 1.29304, 0.00999996, 0.00999989
2.58, 0.999993, 1.29434, 0.00999996, 0.00999989
2.59, 0.999993, 1.29563, 0.00999996, 0.00999989
2.6, 0.999993, 1.29693, 0.00999996, 0.00999989
2.61, 0.999993, 1.29823, 0.00999996, 0.00999989
2.62, 0.999993, 1.29953, 0.00999996, 0.00999989
2.63, 0.999993, 1.30083, 0.00999996, 0.00999989
2.64, 0.999992, 1.30213, 0.00999996, 0.00999989
2.65, 0.999992, 1.30343, 0.00999996, 0.00999989
2.66, 0.999992, 1.30473, 0.00999996, 0.00999989
2.67, 0.999992, 1.30604, 0.00999996, 0.00999989
2.68, 0.999992, 1.30735, 0.00999996, 0.00999988
2.69, 0.999992, 1.30865, 0.00999996, 0.00999988
2.7, 0.999992, 1.30996, 0.00999996, 0.00999988
2.71, 0.999992, 1.31127, 0.00999996, 0.00999988
2.72, 0.999992, 1.31259, 0.00999996, 0.00999988
2.73, 0.999992, 1.3139, 0.00999996, 0.00999988
2.74, 0.999992, 1.31521, 0.00999996, 0.00999988
2.75, 0.999992, 1.31653, 0.00999996, 0.00999988
2.76, 0.999992, 1.31785, 0.00999996, 0.00999988
2.77, 0.999992, 1.31917, 0.00999996, 0.00999988
2.78, 0.999992, 1.32049, 0.00999996, 0.00999988
2.79, 0.999992, 1.32181, 0.00999996, 0.00999987
2.8, 0.999992, 1.32313, 0.00999996, 0.00999987
2.81, 0.999992, 1.32445, 0.00999996, 0.00999987
2.82, 0.999991, 1.32578, 0.00999996, 0.00999987
2.83, 0.999991, 1.3271, 0.00999996, 0.00999987
2.84, 0.999991, 1.32843, 0.00999996, 0.00999987
2.85, 0.999991, 1.32976, 0.00999996, 0.00999987
2.86, 0.999991, 1.33109, 0.00999996, 0.00999987
2.87, 0.999991, 1.33242, 0.00999996, 0.00999987
2.88, 0.999991, 1.33376, 0.00999996, 0.00999987
2.89, 0.999991, 1.33509, 0.00999996, 0.00999987
2.9, 0.999991, 1.33643, 0.00999996, 0.00999987
2.91, 0.999991, 1.33776, 0.00999995, 0.00999986
2.92, 0.999991, 1.3391, 0.00999995, 0.00999986
2.93, 0.999991, 1.34044, 0.00999995, 0.00999986
2.94, 0.999991, 1.34178, 0.00999995, 0.00999986
2.95, 0.999991, 1.34313, 0.00999995, 0.00999986
2.96, 0.999991, 1.34447, 0.00999995, 0.00999986
2.97, 0.999991, 1.34581, 0.00999995, 0.00999986
2.98, 0.999991, 1.34716, 0.00999995, 0.00999986
2.99, 0.99999, 1.34851, 0.00999995, 0.00999986
3, 0.99999, 1.34986, 0.00999995, 0.00999986
3.01, 0.99999, 1.35121, 0.00999995, 0.00999986
3.02, 0.99999, 1.35256, 0.00999995, 0.00999985
3.03, 0.99999, 1.35391, 0.00999995, 0.00999985
3.04, 0.99999, 1.35527, 0.00999995, 0.00999985
3.05, 0.99999, 1.35662, 0.00999995, 0.00999985
3.06, 0.99999, 1.35798, 0.00999995, 0.00999985
3.07, 0.99999, 1.35934, 0.00999995, 0.00999985
3.08, 0.99999, 1.3607, 0.00999995, 0.00999985
3.09, 0.99999, 1.36206, 0.00999995, 0.00999985
3.1, 0.99999, 1.36342, 0.00999995, 0.00999985
3.11, 0.99999, 1.36479, 0.00999995, 0.00999985
3.12, 0.99999, 1.36615, 0.00999995, 0.00999984
3.13, 0.99999, 1.36752, 0.00999995, 0.00999984
3.14, 0.99999, 1.36889, 0.00999995, 0.00999984
3.15, 0.999989, 1.37026, 0.00999995, 0.00999984
3.16, 0.999989, 1.37163, 0.00999995, 0.00999984
3.17, 0.999989, 1.373, 0.00999995, 0.00999984
3.18, 0.999989, 1.37438, 0.00999995, 0.00999984
3.19, 0.999989, 1.37575, 0.00999995, 0.00999984
3.2, 0.999989, 1.37713, 0.00999995, 0.00999984
3.21, 0.999989, 1.37851, 0.00999995, 0.00999984
3.22, 0.999989, 1.37988, 0.00999994, 0.00999983
3.23, 0.999989, 1.38126, 0.00999994, 0.00999983
3.24, 0.999989, 1.38265, 0.00999994, 0.00999983
3.25, 0.999989, 1.38403, 0.00999994, 0.00999983
3.26, 0.999989, 1.38541, 0.00999994, 0.00999983
3.27, 0.999989, 1.3868, 0.00999994, 0.00999983
3.28, 0.999989, 1.38819, 0.00999994, 0.00999983
3.29, 0.999989, 1.38958, 0.00999994, 0.00999983
3.3, 0.999988, 1.39097, 0.00999994, 0.00999983
3.31, 0.999988, 1.39236, 0.00999994, 0.00999983
3.32, 0.999988, 1.39375, 0.00999994, 0.00999982
3.33, 0.999988, 1.39515, 0.00999994, 0.00999982
3.34, 0.999988, 1.39654, 0.00999994, 0.00999982
3.35, 0.999988, 1.39794, 0.00999994, 0.00999982
3.36, 0.999988, 1.39934, 0.00999994, 0.00999982
3.37, 0.999988, 1.40074, 0.00999994, 0.00999982
3.38, 0.999988, 1.40214, 0.00999994, 0.00999982
3.39, 0.999988, 1.40354, 0.00999994, 0.00999982
3.4, 0.999988, 1.40495, 0.00999994, 0.00999982
3.41, 0.999988, 1.40635, 0.00999994, 0.00999982
3.42, 0.999988, 1.40776, 0.00999994, 0.00999981
3.43, 0.999988, 1.40917, 0.00999994, 0.00999981
3.44, 0.999987, 1.41058, 0.00999994, 0.00999981
3.45, 0.999987, 1.41199, 0.00999994, 0.00999981
3.46, 0.999987, 1.4134, 0.00999994, 0.00999981
3.47, 0.999987, 1.41482, 0.00999994, 0.00999981
3.48, 0.999987, 1.41623, 0.00999994, 0.00999981
3.49, 0.999987, 1.41765, 0.00999994, 0.00999981
3.5, 0.999987, 1.41907, 0.00999994, 0.00999981
3.51, 0.999987, 1.42049, 0.00999993, 0.0099998
3.52, 0.999987, 1.42191, 0.00999993, 0.0099998
3.53, 0.999987, 1.42333, 0.00999993, 0.0099998
3.54, 0.999987, 1.42475, 0.00999993, 0.0099998
3.55, 0.999987, 1.42618, 0.00999993, 0.0099998
3.56, 0.999987, 1.42761, 0.00999993, 0.0099998
3.57, 0.999987, 1.42904, 0.00999993, 0.0099998
3.58, 0.999986, 1.43047, 0.00999993, 0.0099998
3.59, 0.999986, 1.4319, 0.00999993, 0.0099998
3.6, 0.999986, 1.43333, 0.00999993, 0.00999979
3.61, 0.999986, 1.43476, 0.00999993, 0.00999979
3.62, 0.999986, 1.4362, 0.00999993, 0.00999979
3.63, 0.999986, 1.43764, 0.00999993, 0.00999979
3.64, 0.999986, 1.43907, 0.00999993, 0.00999979
3.65, 0.999986, 1.44051, 0.00999993, 0.00999979
3.66, 0.999986, 1.44195, 0.00999993, 0.00999979
3.67, 0.999986, 1.4434, 0.00999993, 0.00999979
3.68, 0.999986, 1.44484, 0.00999993, 0.00999979
3.69, 0.999986, 1.44629, 0.00999993, 0.00999978
3.7, 0.999986, 1.44773, 0.00999993, 0.00999978
3.71, 0.999985, 1.44918, 0.00999993, 0.00999978
3.72, 0.999985, 1.45063, 0.00999993, 0.00999978
3.73, 0.999985, 1.45208, 0.00999993, 0.00999978
3.74, 0.999985, 1.45354, 0.00999993, 0.00999978
3.75, 0.999985, 1.45499, 0.00999993, 0.00999978
3.76, 0.999985, 1.45645, 0.00999993, 0.00999978
3.77, 0.999985, 1.4579, 0.00999993, 0.00999978
3.78, 0.999985, 1.45936, 0.00999992, 0.00999977
3.79, 0.999985, 1.46082, 0.00999992, 0.00999977
3.8, 0.999985, 1.46228, 0.00999992, 0.00999977
3.81, 0.999985, 1.46375, 0.00999992, 0.00999977
3.82, 0.999985, 1.46521, 0.00999992, 0.00999977
3.83, 0.999985, 1.46668, 0.00999992, 0.00999977
3.84, 0.999984, 1.46814, 0.00999992, 0.00999977
3.85, 0.999984, 1.46961, 0.00999992, 0.00999977
3.86, 0.999984, 1.47108, 0.00999992, 0.00999976
3.87, 0.999984, 1.47256, 0.00999992, 0.00999976
3.88, 0.999984, 1.47403, 0.00999992, 0.00999976
3.89, 0.999984, 1.4755, 0.00999992, 0.00999976
3.9, 0.999984, 1.47698, 0.00999992, 0.00999976
3.91, 0.999984, 1.47846, 0.00999992, 0.00999976
3.92, 0.999984, 1.47994, 0.00999992, 0.00999976
3.93, 0.999984, 1.48142, 0.00999992, 0.00999976
3.94, 0.999984, 1.4829, 0.00999992, 0.00999976
3.95, 0.999984, 1.48438, 0.00999992, 0.00999975
3.96, 0.999984, 1.48587, 0.00999992, 0.00999975
3.97, 0.999983, 1.48736, 0.00999992, 0.00999975
3.98, 0.999983, 1.48884, 0.00999992, 0.00999975
3.99, 0.999983, 1.49033, 0.00999992, 0.00999975
4, 0.999983, 1.49182, 0.00999992, 0.00999975
4.01, 0.999983, 1.49332, 0.00999992, 0.00999975
4.02, 0.999983, 1.49481, 0.00999992, 0.00999975
4.03, 0.999983, 1.49631, 0.00999991, 0.00999974
4.04, 0.999983, 1.4978, 0.00999991, 0.00999974
4.05, 0.999983, 1.4993, 0.00999991, 0.00999974
4.06, 0.999983, 1.5008, 0.00999991, 0.00999974
4.07, 0.999983, 1.5023, 0.00999991, 0.00999974
4.08, 0.999983, 1.50381, 0.00999991, 0.00999974
4.09, 0.999982, 1.50531, 0.00999991, 0.00999974
4.1, 0.999982, 1.50682, 0.00999991, 0.00999974
4.11, 0.999982, 1.50832, 0.00999991, 0.00999973
4.12, 0.999982, 1.50983, 0.00999991, 0.00999973
4.13, 0.999982, 1.51134, 0.00999991, 0.00999973
4.14, 0.999982, 1.51286, 0.00999991, 0.00999973
4.15, 0.999982, 1.51437, 0.00999991, 0.00999973
4.16, 0.999982, 1.51588, 0.00999991, 0.00999973
4.17, 0.999982, 1.5174, 0.00999991, 0.00999973
4.18, 0.999982, 1.51892, 0.00999991, 0.00999973
4.19, 0.999982, 1.52044, 0.00999991, 0.00999972
4.2, 0.999982, 1.52196, 0.00999991, 0.00999972
4.21, 0.999981, 1.52348, 0.00999991, 0.00999972
4.22, 0.999981, 1.52501, 0.00999991, 0.00999972
4.23, 0.999981, 1.52653, 0.00999991, 0.00999972
