# x y B_z phi A'_x A'_y
8 6 0 -1.46539 0.0547324 0.0712372
9 6 0 -1.42298 0.033922 0.0717375
10 6 0 -1.39755 0.021571 0.0713766
11 6 0 -1.37984 0.0165678 0.0707425
12 6 0 -1.36442 0.015316 0.0700409
13 6 0 -1.3492 0.0154044 0.0693254
14 6 0 -1.33361 0.0158594 0.0686172
15 6 0 -1.31748 0.0164001 0.0679173
16 6 0 -1.30081 0.01696 0.067231
17 6 0 -1.28356 0.0175235 0.0665561
18 6 0 -1.26576 0.0180851 0.0659029
19 6 0 -1.24739 0.0186431 0.0652664
20 6 0 -1.22847 0.0191925 0.0646531
21 6 0 -1.20901 0.0197264 0.0640634
22 6 0 -1.18902 0.0202428 0.0634979
23 6 0 -1.16852 0.0207345 0.0629615
24 6 0 -1.14755 0.0211927 0.0624515
25 6 0 -1.12614 0.0216148 0.0619662
26 6 0 -1.10432 0.0219989 0.0615085
27 6 0 -1.08214 0.0223329 0.0610735
28 6 0 -1.05966 0.0226126 0.0606617
29 6 0 -1.03692 0.0228366 0.0602679
30 6 0 -1.01398 0.0229993 0.0598878
31 6 0 -0.990917 0.0230989 0.0595183
32 6 0 -0.967785 0.023132 0.0591536
33 6 0 -0.944653 0.0230978 0.0587886
34 6 0 -0.921589 0.0229983 0.058419
35 6 0 -0.898656 0.0228373 0.05804
36 6 0 -0.875915 0.0226136 0.0576463
37 6 0 -0.853429 0.0223321 0.0572338
38 6 0 -0.83125 0.0219986 0.0567996
39 6 0 -0.809432 0.0216176 0.056341
40 6 0 -0.788015 0.0211938 0.0558574
41 6 0 -0.767044 0.020732 0.0553472
42 6 0 -0.746551 0.0202416 0.0548083
43 6 0 -0.726561 0.0197273 0.0542447
44 6 0 -0.707096 0.019193 0.0536545
45 6 0 -0.688175 0.0186436 0.0530412
46 6 0 -0.669809 0.0180856 0.0524052
47 6 0 -0.652004 0.017523 0.05175
48 6 0 -0.634763 0.016958 0.0510772
49 6 0 -0.618088 0.0163928 0.0503899
50 6 0 -0.601978 0.0158116 0.04969
51 6 0 -0.586465 0.0151371 0.0489816
52 6 0 -0.571703 0.0140978 0.0482687
53 6 0 -0.558269 0.0120174 0.0475568
54 6 0 -0.547669 0.00789481 0.0468338
55 6 0 -0.54248 0.00145155 0.0460065
56 6 0 -0.544765 -0.00547814 0.0447699
57 6 0 -0.553436 -0.0104456 0.042642
58 6 0 -0.565657 -0.0140999 0.0394353
59 6 0 -0.581636 -0.01847 0.0356192
60 6 0 -0.602597 -0.0233026 0.0316228
61 6 0 -0.628241 -0.0285953 0.0274241
62 6 -0.00946979 -0.659787 -0.034831 0.0231606
63 6 0 -0.697903 0 0

0 7 0 -2.47839 0 0
1 7 -0.00970381 -2.2775 0.190132 -0.00524974
2 7 0 -2.09813 0.169328 0.00834656
3 7 0 -1.93884 0.151017 0.0209209
4 7 0 -1.79609 0.133468 0.0320565
5 7 0 -1.67191 0.116213 0.0410943
6 7 0 -1.56367 0.100463 0.047165
7 7 0 -1.47098 0.0806493 0.0502939
8 7 0 -1.40237 0.0555906 0.0513912
9 7 0 -1.3598 0.0337873 0.0514479
10 7 0 -1.33479 0.0210687 0.0510856
11 7 0 -1.31766 0.0159612 0.0505936
12 7 0 -1.30287 0.0146847 0.0500717
13 7 0 -1.28829 0.0147759 0.0495537
14 7 0 -1.27332 0.0152441 0.0490491
15 7 0 -1.25781 0.0157989 0.0485607
16 7 0 -1.24172 0.0163742 0.0480936
17 7 0 -1.22506 0.0169579 0.0476479
18 7 0 -1.2078 0.0175441 0.0472298
19 7 0 -1.18997 0.0181267 0.046841
20 7 0 -1.17155 0.0187024 0.0464838
21 7 0 -1.15256 0.0192654 0.0461599
22 7 0 -1.13302 0.0198128 0.0458724
23 7 0 -1.11294 0.0203359 0.0456211
24 7 0 -1.09235 0.0208254 0.0454056
25 7 0 -1.07129 0.0212789 0.04523
26 7 0 -1.04979 0.0216902 0.0450884
27 7 0 -1.02791 0.0220513 0.0449777
28 7 0 -1.00569 0.0223556 0.0448977
29 7 0 -0.983196 0.0225973 0.0448419
30 7 0 -0.960494 0.0227743 0.0448077
31 7 0 -0.937648 0.0228815 0.0447842
32 7 0 -0.91473 0.0229175 0.0447683
33 7 0 -0.891813 0.0228814 0.0447521
34 7 0 -0.868968 0.0227745 0.0447301
35 7 0 -0.846264 0.0225983 0.044695
36 7 0 -0.823771 0.0223555 0.0446387
37 7 0 -0.801553 0.0220512 0.0445588
38 7 0 -0.779669 0.0216899 0.044449
39 7 0 -0.758173 0.02128 0.0443068
40 7 0 -0.737109 0.0208263 0.0441288
41 7 0 -0.71652 0.020334 0.0439144
42 7 0 -0.696441 0.0198123 0.0436642
43 7 0 -0.676895 0.0192664 0.0433768
44 7 0 -0.657908 0.0187025 0.0430527
45 7 0 -0.63949 0.018127 0.0426948
46 7 0 -0.621654 0.0175433 0.0423059
47 7 0 -0.604404 0.0169576 0.0418878
48 7 0 -0.587739 0.0163741 0.0414431
49 7 0 -0.571656 0.0157913 0.0409759
50 7 0 -0.556156 0.0151954 0.040488
51 7 0 -0.541265 0.014512 0.0399836
52 7 0 -0.527132 0.0134731 0.0394699
53 7 0 -0.514319 0.0114071 0.0389624
54 7 0 -0.504318 0.00729221 0.0384879
55 7 0 -0.499734 0.000747055 0.0380549
56 7 0 -0.502824 -0.00660631 0.0375507
57 7 0 -0.512947 -0.0124189 0.0366298
58 7 0 -0.527662 -0.0170209 0.0349113
59 7 0 -0.546989 -0.0219971 0.0324062
60 7 0 -0.571656 -0.0270989 0.029437
61 7 0 -0.601187 -0.0325101 0.0261986
62 7 -0.00977419 -0.636676 -0.0387379 0.0228505
63 7 0 -0.678662 0 0

0 8 0 -2.49809 0 0
1 8 -0.0100009 -2.28428 0.202733 -0.0092181
2 8 0 -2.09263 0.181011 0.000900745
3 8 0 -1.92226 0.161253 0.00984472
4 8 0 -1.77012 0.141645 0.017178
5 8 0 -1.63897 0.121801 0.0224228
6 8 0 -1.52652 0.103555 0.0255189
7 8 0 -1.43185 0.0819521 0.026996
8 8 0 -1.36261 0.0558864 0.0275026
9 8 0 -1.32008 0.0336164 0.0275061
10 8 0 -1.29538 0.0207167 0.0272906
11 8 0 -1.27865 0.0155538 0.0269987
12 8 0 -1.26427 0.0142761 0.0266963
13 8 0 -1.2501 0.0143818 0.0264089
14 8 0 -1.23551 0.0148664 0.0261418
15 8 0 -1.22036 0.0154446 0.0259006
16 8 0 -1.20462 0.0160471 0.0256878
17 8 0 -1.18827 0.0166597 0.02551
18 8 0 -1.1713 0.0172783 0.0253672
19 8 0 -1.15371 0.0178971 0.025265
20 8 0 -1.13551 0.0185113 0.0252057
21 8 0 -1.11669 0.0191151 0.0251906
22 8 0 -1.09728 0.019704 0.0252243
23 8 0 -1.07728 0.0202677 0.0253053
24 8 0 -1.05674 0.0208017 0.0254346
25 8 0 -1.03568 0.0212976 0.025614
26 8 0 -1.01414 0.0217466 0.0258386
27 8 0 -0.992185 0.0221422 0.0261071
28 8 0 -0.96986 0.0224768 0.0264127
29 8 0 -0.947232 0.0227466 0.0267512
30 8 0 -0.924367 0.0229416 0.0271155
31 8 0 -0.901349 0.0230595 0.0274978
32 8 0 -0.878248 0.0230999 0.0278891
33 8 0 -0.855149 0.0230595 0.0282807
34 8 0 -0.832129 0.0229411 0.0286637
35 8 0 -0.809266 0.0227458 0.0290266
36 8 0 -0.786637 0.0224775 0.0293659
37 8 0 -0.764311 0.0221424 0.0296712
38 8 0 -0.742352 0.0217465 0.0299397
39 8 0 -0.720818 0.0212974 0.0301638
40 8 0 -0.699758 0.0208015 0.0303418
41 8 0 -0.679215 0.0202674 0.0304724
42 8 0 -0.659223 0.019704 0.0305545
43 8 0 -0.639807 0.0191159 0.0305866
44 8 0 -0.620991 0.0185109 0.030573
45 8 0 -0.602786 0.0178968 0.0305129
46 8 0 -0.585197 0.0172786 0.0304103
47 8 0 -0.568228 0.0166602 0.030269
48 8 0 -0.551877 0.016046 0.0300898
49 8 0 -0.536136 0.0154378 0.0298778
50 8 0 -0.521002 0.0148194 0.029637
51 8 0 -0.506498 0.014119 0.0293712
52 8 0 -0.492764 0.0130765 0.0290885
53 8 0 -0.480344 0.0110354 0.0288083
54 8 0 -0.470693 0.00698736 0.0285737
55 8 0 -0.46637 0.000514403 0.0284446
56 8 0 -0.469664 -0.00690331 0.0284258
57 8 0 -0.480176 -0.013085 0.0283516
58 8 0 -0.495834 -0.0183235 0.0279298
59 8 0 -0.516823 -0.0239442 0.0269979
60 8 0 -0.543723 -0.0295101 0.0256087
61 8 0 -0.575844 -0.0351819 0.0238925
62 8 -0.0100857 -0.614086 -0.0414812 0.0220233
63 8 0 -0.658806 0 0

0 9 0 -2.51839 0 0
1 9 -0.0103034 -2.29594 0.211034 -0.0138509
2 9 0 -2.09632 0.188391 -0.00769591
