# step dp_dt_x dp_dt_y F_x F_y ratio_x ratio_y
17400 0.381561 -0.0493793 0.0066064 -0.0866262 57.7563 0.570028
17500 0.385647 -0.0415649 0.001185 0.000335477 325.441 -123.898
17600 0.400902 -0.0340271 -0.00562791 -0.0353955 -71.2346 0.961339
17700 0.420242 -0.0288677 -0.0131253 -0.112988 -32.0177 0.255494
17800 0.435989 -0.0279961 0.018563 -0.137962 23.487 0.202926
17900 0.441463 -0.0289249 0.0146925 -0.014076 30.0468 2.05491
18000 0.440701 -0.0315838 -0.00779442 -0.0126493 -56.5405 2.49688
18100 0.436008 -0.0364304 -0.0160809 -0.0811046 -27.1135 0.449177
18200 0.42149 -0.0446682 -0.00598316 -0.157343 -70.4461 0.28389
18300 0.389069 -0.0560856 0.0343825 -0.0519781 11.3159 1.07902
18400 0.342007 -0.0718536 -0.00200463 0.00231568 -170.608 -31.0292
18500 0.292099 -0.0944366 -0.0179315 0.0480593 -16.2897 -1.965
18600 0.254684 -0.120188 -0.0291248 0.137793 -8.74459 -0.872237
18700 0.236969 -0.146963 0.04489 0.116199 5.27888 -1.26475
18800 0.231998 -0.168724 0.00530067 0.00917908 43.7678 -18.3814
18900 0.237648 -0.165014 -0.0146492 0.0235114 -16.2226 -7.01847
19000 0.262192 -0.126652 -0.045019 0.0974309 -5.82403 -1.29991
19100 0.299717 -0.0804958 -0.0417121 0.169813 -7.18537 -0.474025
19200 0.327026 -0.042017 -0.0123113 0.0400493 -26.5632 -1.04913
19300 0.334297 9.91821e-05 -0.00700225 0.00856145 -47.7414 0.0115847
19400 0.332077 0.0135689 -0.0465165 0.077533 -7.13892 0.175008
19500 0.32616 -0.0333157 -0.103159 0.102607 -3.16173 -0.324693
19600 0.308308 -0.0993233 -0.000218819 0.0360965 -1408.96 -2.75161
19700 0.285221 -0.148481 3.28742e-05 4.62252e-05 8676.13 -3212.13
19800 0.265194 -0.206392 -0.000216214 0.000215266 -1226.54 -958.776
19900 0.244427 -0.229677 -0.000942497 0.000935112 -259.34 -245.615
20000 0.230312 -0.155573 -0.000709796 0.00071018 -324.477 -219.061
20100 0.207218 -0.0341873 -5.13246e-05 5.1295e-05 -4037.4 -666.484
20200 0.110081 0.0791817 -9.65044e-05 9.68152e-05 -1140.68 817.864
20300 -0.0338593 0.162989 -0.000756959 0.000750729 44.7306 217.107
20400 -0.0755844 0.192423 -0.000966636 0.000963396 78.1932 199.734
20500 -0.164021 0.168358 -9.11971e-05 9.21145e-05 1798.53 1827.7
20600 -0.566654 0.110016 -4.14316e-06 0.00584546 136769 18.8207
20700 -0.993816 0.0187149 -0.000806054 0.061476 1232.94 0.304426
20800 -1.01928 -0.0828514 -7.47344e-05 0.162624 13638.6 -0.509466
20900 -0.952053 -0.14468 5.94781e-05 0.021711 -16006.8 -6.66389
21000 -1.22669 -0.154638 -0.000100325 0.0239758 12227.2 -6.44978
21100 -1.55499 -0.132866 -0.000244493 0.11016 6360.04 -1.20612
21200 -1.66077 -0.0725613 0.000123456 0.138477 -13452.3 -0.523994
21300 -1.71788 -0.0180225 -4.43804e-07 0.0086013 0 -2.09533
21400 -1.81197 -0.0142555 3.07102e-05 0.0147718 -59002.1 -0.965047
21500 -1.83541 -0.0107136 0.00033397 0.0778547 -5495.75 -0.13761
21600 -1.69432 0.00675774 0.00105 0.102574 -1613.64 0.0658814
21700 -1.37834 0.0126419 0.000269959 0.0379069 -5105.74 0.333499
21800 -0.973652 0.0149097 2.87685e-05 2.87241e-05 -33844.4 519.068
21900 -0.56551 0.0259628 0.00020047 0.000200248 -2820.92 129.653
22000 -0.17778 0.0550709 0.00092087 0.000919894 -193.057 59.8666
22100 0.0982037 0.0822735 0.000735095 0.000734843 133.593 111.961
22200 0.136284 0.0902081 5.36099e-05 5.36099e-05 2542.14 1682.68
22300 -0.0413666 0.0925713 8.90853e-05 8.90558e-05 -464.348 1039.48
22400 -0.257223 0.0774994 0.000737135 0.000736366 -348.95 105.246
22500 -0.407566 0.0472221 0.000209153 0.000101235 -1948.65 466.462
22600 -0.536867 0.0363159 4.44053e-05 1.79514e-05 -12090.2 2023.01
22700 -0.634876 0.0376682 3.31067e-05 1.55553e-05 -19176.6 2421.57
22800 -0.642431 0.0107384 9.31514e-06 3.71127e-06 -68966.3 2893.45
22900 -0.582226 -0.0103645 8.90082e-06 3.47457e-06 -65412.6 -2982.97
23000 -0.522261 0.0228195 2.72042e-06 9.61018e-07 -191978 0
23100 -0.472466 0.0491962 2.82382e-06 9.75771e-07 -167314 0
23200 -0.409109 0.042387 1.2862e-06 3.10463e-07 -318075 0
23300 -0.34882 0.0613594 1.27137e-06 3.10452e-07 -274365 0
23400 -0.306427 0.0965271 1.27133e-06 3.10441e-07 -241029 0
23500 -0.254595 0.109938 3.39995e-07 7.39119e-08 0 0
