# step E_total KE PE <beta> norm
31000 0.714913 0.223471 0.491442 0.989481 0.989485
31100 0.71794 0.224134 0.493806 0.989451 0.989456
31200 0.718568 0.224183 0.494385 0.98942 0.989419
31300 0.717076 0.224083 0.492993 0.989386 0.989384
31400 0.715849 0.22427 0.491579 0.98935 0.989346
31500 0.718146 0.224776 0.49337 0.989316 0.989308
31600 0.719282 0.224837 0.494445 0.989282 0.989281
31700 0.718131 0.22475 0.493381 0.98925 0.989247
31800 0.716254 0.224785 0.49147 0.989214 0.989213
31900 0.7174 0.22544 0.49196 0.989179 0.989182
32000 0.719959 0.225697 0.494262 0.989145 0.989146
32100 0.719479 0.22565 0.493829 0.98911 0.989115
32200 0.717483 0.22544 0.492042 0.98908 0.989076
32300 0.717044 0.22567 0.491373 0.989043 0.989049
32400 0.719999 0.226119 0.493879 0.989009 0.98901
32500 0.720365 0.226107 0.494258 0.988981 0.988974
32600 0.719281 0.225934 0.493347 0.988945 0.988944
32700 0.718376 0.2258 0.492576 0.988911 0.98891
32800 0.719788 0.22607 0.493718 0.988875 0.988877
32900 0.720456 0.226089 0.494367 0.988843 0.988843
33000 0.720049 0.226035 0.494014 0.988809 0.98881
33100 0.719494 0.225937 0.493557 0.988776 0.988778
33200 0.719793 0.226016 0.493777 0.98874 0.988736
33300 0.720373 0.226048 0.494325 0.988705 0.988705
33400 0.720229 0.226033 0.494196 0.988673 0.988672
33500 0.720002 0.226015 0.493987 0.98864 0.988637
33600 0.720001 0.22604 0.493961 0.988606 0.988607
33700 0.720306 0.226054 0.494252 0.988572 0.988568
33800 0.720255 0.226044 0.494212 0.988538 0.988538
33900 0.72014 0.226047 0.494093 0.988508 0.988503
34000 0.720134 0.226095 0.494039 0.988472 0.988472
34100 0.720291 0.226112 0.49418 0.988441 0.988436
34200 0.720267 0.226104 0.494162 0.988402 0.988406
34300 0.720101 0.226101 0.494 0.98837 0.988371
34400 0.719963 0.226147 0.493816 0.988336 0.988341
34500 0.720195 0.226202 0.493993 0.988305 0.988304
34600 0.72031 0.2262 0.49411 0.988269 0.98827
34700 0.720163 0.226191 0.493972 0.988239 0.988239
34800 0.719956 0.226209 0.493746 0.988201 0.988204
34900 0.720061 0.226269 0.493791 0.988172 0.988166
35000 0.720323 0.226282 0.494041 0.988137 0.988134
35100 0.720184 0.226272 0.493912 0.9881 0.988103
35200 0.719872 0.226281 0.493591 0.988067 0.98807
35300 0.719889 0.22635 0.493539 0.988034 0.988039
35400 0.720316 0.226376 0.49394 0.988 0.987999
35500 0.720215 0.226362 0.493853 0.987963 0.987967
35600 0.719902 0.226357 0.493545 0.987934 0.987933
35700 0.719782 0.226427 0.493355 0.987897 0.987896
35800 0.720279 0.226486 0.493792 0.987868 0.987865
35900 0.720332 0.226479 0.493853 0.987834 0.987829
36000 0.720057 0.226471 0.493586 0.987801 0.9878
36100 0.71972 0.226518 0.493202 0.987765 0.987764
36200 0.72013 0.226616 0.493514 0.987729 0.987732
36300 0.720432 0.226623 0.493809 0.987696 0.987693
36400 0.720078 0.226619 0.493459 0.987664 0.987662
36500 0.719366 0.226636 0.49273 0.987633 0.987631
36600 0.719624 0.226769 0.492855 0.987596 0.987599
36700 0.720512 0.226813 0.493699 0.987563 0.987561
36800 0.720073 0.226812 0.493262 0.987531 0.987532
36900 0.719003 0.226868 0.492135 0.987496 0.987493
37000 0.719051 0.227137 0.491914 0.987462 0.987463
37100 0.720741 0.227268 0.493473 0.98743 0.987429
37200 0.720398 0.227253 0.493145 0.987402 0.987401
37300 0.719137 0.227332 0.491805 0.987365 0.987366
37400 0.719061 0.227817 0.491244 0.98733 0.987329
37500 0.721178 0.228051 0.493126 0.987295 0.987296
37600 0.721197 0.228032 0.493165 0.987266 0.987262
37700 0.719753 0.228046 0.491707 0.987228 0.98723
37800 0.718853 0.228674 0.49018 0.987196 0.987195
37900 0.721457 0.22925 0.492206 0.987159 0.98716
38000 0.722571 0.229263 0.493308 0.987126 0.987128
38100 0.721246 0.229171 0.492075 0.987094 0.987092
38200 0.719721 0.229488 0.490233 0.987061 0.987063
38300 0.721408 0.230258 0.49115 0.987028 0.987026
38400 0.723742 0.230387 0.493356 0.986994 0.986997
38500 0.723148 0.230301 0.492847 0.986961 0.98696
38600 0.721961 0.230153 0.491808 0.986927 0.986931
38700 0.722123 0.230384 0.491739 0.986897 0.986896
38800 0.723779 0.230563 0.493216 0.986858 0.986858
38900 0.723664 0.23052 0.493143 0.986827 0.986826
39000 0.7228 0.230363 0.492437 0.986796 0.986792
39100 0.722404 0.23035 0.492054 0.986762 0.986763
39200 0.723404 0.230414 0.49299 0.986724 0.986727
39300 0.723606 0.230396 0.493209 0.986694 0.986692
39400 0.722859 0.230395 0.492464 0.986658 0.986656
39500 0.722031 0.230503 0.491528 0.986623 0.98662
39600 0.722994 0.230667 0.492327 0.986593 0.986596
39700 0.723821 0.230666 0.493155 0.986555 0.986559
39800 0.722891 0.230714 0.492178 0.986525 0.986524
39900 0.721804 0.230951 0.490853 0.986489 0.986491
40000 0.723094 0.231265 0.49183 0.986456 0.986455
40100 0.724372 0.231292 0.49308 0.986425 0.98643
40200 0.723587 0.231292 0.492295 0.986391 0.986391
40300 0.722513 0.231532 0.490981 0.986358 0.986358
40400 0.72335 0.23205 0.4913 0.986325 0.986326
40500 0.725043 0.232131 0.492912 0.986292 0.98629
40600 0.724558 0.232078 0.49248 0.986261 0.986261
40700 0.723186 0.23205 0.491136 0.986224 0.986223
40800 0.722572 0.232459 0.490113 0.986191 0.986192
40900 0.725108 0.232761 0.492348 0.986161 0.986159
41000 0.72536 0.232723 0.492636 0.986127 0.986126
41100 0.723904 0.23258 0.491324 0.986092 0.986091
41200 0.722622 0.232923 0.4897 0.986058 0.986059
41300 0.725094 0.233526 0.491569 0.986025 0.986021
41400 0.726418 0.233553 0.492865 0.985989 0.98599
41500 0.725427 0.233446 0.491981 0.985959 0.985962
41600 0.724051 0.233585 0.490466 0.985926 0.985927
41700 0.725384 0.234052 0.491332 0.985891 0.985894
41800 0.726945 0.234125 0.49282 0.985859 0.985857
41900 0.726408 0.234049 0.49236 0.985825 0.985825
42000 0.725407 0.233935 0.491471 0.985791 0.985789
42100 0.725602 0.234073 0.491529 0.985759 0.985761
42200 0.726823 0.23416 0.492663 0.985724 0.985723
42300 0.726715 0.234147 0.492567 0.985688 0.985689
42400 0.72557 0.234122 0.491448 0.985655 0.98566
42500 0.724854 0.234222 0.490631 0.985622 0.985625
42600 0.726703 0.234349 0.492354 0.985587 0.985591
42700 0.726824 0.23434 0.492484 0.985556 0.985553
42800 0.725713 0.234351 0.491363 0.985521 0.985526
42900 0.724919 0.234545 0.490373 0.985488 0.985487
43000 0.726586 0.234745 0.491841 0.985454 0.985457
43100 0.727337 0.234759 0.492578 0.985425 0.985421
43200 0.726571 0.234736 0.491835 0.985387 0.985383
43300 0.725619 0.234917 0.490702 0.985353 0.985353
43400 0.72651 0.235354 0.491156 0.985322 0.98532
43500 0.727921 0.235423 0.492498 0.98529 0.985286
43600 0.727501 0.235392 0.492108 0.985254 0.985254
43700 0.726616 0.235494 0.491123 0.985221 0.985225
43800 0.72679 0.235988 0.490802 0.985188 0.985187
43900 0.728441 0.236154 0.492287 0.985154 0.985154
44000 0.728472 0.236129 0.492343 0.98512 0.985118
44100 0.72784 0.236105 0.491736 0.985084 0.985087
44200 0.727597 0.236347 0.491251 0.985052 0.985051
44300 0.728645 0.236528 0.492117 0.985016 0.98502
44400 0.728913 0.236518 0.492394 0.984981 0.984982
44500 0.728411 0.236495 0.491916 0.984951 0.984955
44600 0.727966 0.236615 0.491351 0.984917 0.984919
44700 0.728665 0.236837 0.491828 0.984887 0.984884
44800 0.729229 0.236856 0.492373 0.984849 0.984851
44900 0.728918 0.236839 0.492078 0.984815 0.984816
45000 0.728361 0.236869 0.491492 0.984786 0.984782
45100 0.728611 0.237035 0.491576 0.984747 0.984748
45200 0.729366 0.237091 0.492275 0.984717 0.984718
45300 0.729134 0.237071 0.492063 0.984683 0.984682
45400 0.728449 0.237066 0.491383 0.984648 0.984646
