k,omega,v_group,v_phase
1.873817422860384951e+01,1.876483875287804182e+01,9.985790166051865535e-01,1.001423005461945737e+00
2.056512308348653661e+01,2.058942173639053053e+01,9.988198477249583540e-01,1.001181546680044221e+00
2.257019719633921540e+01,2.259233944242248171e+01,9.990199223883079460e-01,1.000981039106156212e+00
2.477076355991711409e+01,2.479094042873963843e+01,9.991861192647967238e-01,1.000814543676609603e+00
2.718588242732942817e+01,2.720426810911440541e+01,9.993241618663941672e-01,1.000676295199691479e+00
2.983647240283340096e+01,2.985322571255975888e+01,9.994388107373164409e-01,1.000561504372908583e+00
3.274549162877731590e+01,3.276075734793573702e+01,9.995340242291625987e-01,1.000466193005482562e+00
3.593813663804629499e+01,3.595204674305603021e+01,9.996130928203017518e-01,1.000387056934805230e+00
3.944206059437659917e+01,3.945473538031239968e+01,9.996787512116448449e-01,1.000321352022303101e+00
4.328761281083061618e+01,4.329916191868368003e+01,9.997332717923096412e-01,1.000266799370608251e+00
4.750810162102798273e+01,4.751862497625454296e+01,9.997785425139760207e-01,1.000221506540305505e+00
5.214008287999689628e+01,5.214967154961711771e+01,9.998161317351520472e-01,1.000183902078604081e+00
5.722367659350219782e+01,5.723241356851666950e+01,9.998473421882861922e-01,1.000152681119679476e+00
6.280291441834259558e+01,6.281087532774610338e+01,9.998732558754838129e-01,1.000126760190625630e+00
6.892612104349701951e+01,6.893337480569772424e+01,9.998947714046910740e-01,1.000105239669531576e+00
7.564633275546290747e+01,7.565294217246425035e+01,9.999126350302903754e-01,1.000087372603014391e+00
8.302175681319752698e+01,8.302777911247360976e+01,9.999274664535116042e-01,1.000072538807985412e+00
9.111627561154895716e+01,9.112176294014372502e+01,9.999397802630489718e-01,1.000060223363586021e+00
1.000000000000000000e+02,1.000049998750062485e+02,9.999500037496875660e-01,1.000049998750062397e+00
