# Time series data
# step mean_R std_R mean_psi_density max_psi_density
249 0.529735 0.225553 1.60871e-05 0.0159167
250 0.530611 0.225704 1.60871e-05 0.0159167
251 0.531489 0.225843 1.60871e-05 0.0159167
252 0.532357 0.226014 1.60871e-05 0.0159167
253 0.53323 0.226157 1.60871e-05 0.0159167
254 0.534105 0.226292 1.60871e-05 0.0159167
255 0.534973 0.226446 1.60871e-05 0.0159167
256 0.535842 0.226586 1.60871e-05 0.0159167
257 0.536709 0.22674 1.60871e-05 0.0159167
258 0.537574 0.226873 1.60871e-05 0.0159167
259 0.53844 0.227008 1.61361e-05 0.0159382
260 0.539305 0.227149 1.61361e-05 0.0159382
261 0.540161 0.227294 1.61361e-05 0.0159382
262 0.541019 0.227437 1.61361e-05 0.0159382
263 0.541882 0.227567 1.61361e-05 0.0159382
264 0.542736 0.227711 1.61361e-05 0.0159382
265 0.543592 0.227835 1.61361e-05 0.0159382
266 0.544451 0.22796 1.61361e-05 0.0159382
267 0.545305 0.228088 1.61361e-05 0.0159382
268 0.546157 0.228215 1.61361e-05 0.0159382
269 0.547005 0.228348 1.61866e-05 0.0158974
270 0.547852 0.228482 1.61866e-05 0.0158974
271 0.548698 0.228608 1.61866e-05 0.0158974
272 0.549544 0.228734 1.61866e-05 0.0158974
273 0.550388 0.228859 1.61866e-05 0.0158974
274 0.551233 0.228977 1.61866e-05 0.0158974
275 0.552072 0.229099 1.61866e-05 0.0158974
276 0.552916 0.229212 1.61866e-05 0.0158974
277 0.553753 0.229327 1.61866e-05 0.0158974
278 0.554586 0.229455 1.61866e-05 0.0158974
279 0.555423 0.229573 1.62387e-05 0.0157908
280 0.556262 0.229675 1.62387e-05 0.0157908
281 0.557095 0.229784 1.62387e-05 0.0157908
282 0.557922 0.229906 1.62387e-05 0.0157908
283 0.558751 0.230017 1.62387e-05 0.0157908
284 0.559579 0.230131 1.62387e-05 0.0157908
285 0.560409 0.230231 1.62387e-05 0.0157908
286 0.561234 0.230338 1.62387e-05 0.0157908
287 0.562058 0.230448 1.62387e-05 0.0157908
288 0.562878 0.230552 1.62387e-05 0.0157908
289 0.563699 0.230656 1.62924e-05 0.0156165
290 0.564519 0.230748 1.62924e-05 0.0156165
291 0.565331 0.230865 1.62924e-05 0.0156165
292 0.566151 0.230958 1.62924e-05 0.0156165
293 0.566965 0.231058 1.62924e-05 0.0156165
294 0.567777 0.231162 1.62924e-05 0.0156165
295 0.568591 0.231245 1.62924e-05 0.0156165
296 0.5694 0.231342 1.62924e-05 0.0156165
297 0.570204 0.231445 1.62924e-05 0.0156165
298 0.571014 0.231533 1.62924e-05 0.0156165
299 0.571822 0.231617 1.63478e-05 0.0154481
300 0.572618 0.231726 1.63478e-05 0.0154481
301 0.573427 0.231791 1.63478e-05 0.0154481
302 0.574225 0.231895 1.63478e-05 0.0154481
303 0.575029 0.231969 1.63478e-05 0.0154481
304 0.575822 0.232061 1.63478e-05 0.0154481
305 0.576617 0.232146 1.63478e-05 0.0154481
306 0.577413 0.232225 1.63478e-05 0.0154481
307 0.578206 0.23231 1.63478e-05 0.0154481
308 0.578995 0.232397 1.63478e-05 0.0154481
309 0.579783 0.232474 1.64049e-05 0.0157005
310 0.580571 0.232558 1.64049e-05 0.0157005
311 0.581359 0.23263 1.64049e-05 0.0157005
312 0.582143 0.232706 1.64049e-05 0.0157005
313 0.582929 0.232774 1.64049e-05 0.0157005
314 0.583711 0.232853 1.64049e-05 0.0157005
315 0.584491 0.232923 1.64049e-05 0.0157005
316 0.585265 0.233008 1.64049e-05 0.0157005
317 0.586038 0.233089 1.64049e-05 0.0157005
318 0.586815 0.233155 1.64049e-05 0.0157005
319 0.587587 0.233223 1.64636e-05 0.0159026
320 0.58836 0.233292 1.64636e-05 0.0159026
321 0.589128 0.23336 1.64636e-05 0.0159026
322 0.589895 0.233429 1.64636e-05 0.0159026
323 0.590663 0.233495 1.64636e-05 0.0159026
324 0.591432 0.23355 1.64636e-05 0.0159026
325 0.592195 0.233617 1.64636e-05 0.0159026
326 0.592954 0.233684 1.64636e-05 0.0159026
327 0.593713 0.233752 1.64636e-05 0.0159026
328 0.594473 0.233802 1.64636e-05 0.0159026
329 0.59523 0.233861 1.65242e-05 0.016041
330 0.59599 0.233912 1.65242e-05 0.016041
331 0.596739 0.23398 1.65242e-05 0.016041
332 0.597492 0.234036 1.65242e-05 0.016041
333 0.598241 0.234094 1.65242e-05 0.016041
334 0.598986 0.234167 1.65242e-05 0.016041
335 0.599733 0.234216 1.65242e-05 0.016041
336 0.600484 0.234255 1.65242e-05 0.016041
337 0.601223 0.23432 1.65242e-05 0.016041
338 0.601968 0.234363 1.65242e-05 0.016041
339 0.602704 0.23442 1.65865e-05 0.0161038
340 0.603443 0.234469 1.65865e-05 0.0161038
341 0.604183 0.234505 1.65865e-05 0.0161038
342 0.604918 0.234553 1.65865e-05 0.0161038
343 0.60565 0.234608 1.65865e-05 0.0161038
344 0.606382 0.234658 1.65865e-05 0.0161038
345 0.607112 0.2347 1.65865e-05 0.0161038
346 0.607846 0.234728 1.65865e-05 0.0161038
