# Time series data
# step mean_R std_R mean_psi_density max_psi_density
332 0.597492 0.234036 1.52588e-05 0.0148449
333 0.598241 0.234094 1.52588e-05 0.0148449
334 0.598986 0.234167 1.52588e-05 0.0148449
335 0.599733 0.234216 1.52588e-05 0.0148449
336 0.600484 0.234255 1.52588e-05 0.0148449
337 0.601223 0.23432 1.52588e-05 0.0148449
338 0.601968 0.234363 1.52588e-05 0.0148449
339 0.602704 0.23442 1.52588e-05 0.0147825
340 0.603443 0.234469 1.52588e-05 0.0147825
341 0.604183 0.234505 1.52588e-05 0.0147825
342 0.604918 0.234553 1.52588e-05 0.0147825
343 0.60565 0.234608 1.52588e-05 0.0147825
344 0.606382 0.234658 1.52588e-05 0.0147825
345 0.607112 0.2347 1.52588e-05 0.0147825
346 0.607846 0.234728 1.52588e-05 0.0147825
347 0.608576 0.234771 1.52588e-05 0.0147825
348 0.609297 0.234817 1.52588e-05 0.0147825
349 0.610023 0.234853 1.52588e-05 0.0149572
350 0.610744 0.2349 1.52588e-05 0.0149572
351 0.611462 0.234949 1.52588e-05 0.0149572
352 0.612189 0.234968 1.52588e-05 0.0149572
353 0.612902 0.235009 1.52588e-05 0.0149572
354 0.613615 0.235052 1.52588e-05 0.0149572
355 0.614333 0.235077 1.52588e-05 0.0149572
356 0.61504 0.235127 1.52588e-05 0.0149572
357 0.615751 0.235164 1.52588e-05 0.0149572
358 0.616457 0.2352 1.52588e-05 0.0149572
359 0.617166 0.235231 1.52588e-05 0.0153584
360 0.617875 0.235251 1.52588e-05 0.0153584
361 0.618582 0.235277 1.52588e-05 0.0153584
362 0.619287 0.235295 1.52588e-05 0.0153584
363 0.619977 0.235344 1.52588e-05 0.0153584
364 0.620684 0.235362 1.52588e-05 0.0153584
365 0.621377 0.235403 1.52588e-05 0.0153584
366 0.622071 0.235432 1.52588e-05 0.0153584
367 0.622767 0.235454 1.52588e-05 0.0153584
368 0.623464 0.235465 1.52588e-05 0.0153584
369 0.624151 0.235493 1.52588e-05 0.015737
370 0.624843 0.235513 1.52588e-05 0.015737
371 0.625529 0.235539 1.52588e-05 0.015737
372 0.626211 0.235567 1.52588e-05 0.015737
373 0.6269 0.235582 1.52588e-05 0.015737
374 0.627581 0.235602 1.52588e-05 0.015737
375 0.628261 0.235628 1.52588e-05 0.015737
376 0.628941 0.23564 1.52588e-05 0.015737
377 0.629618 0.235662 1.52588e-05 0.015737
378 0.630293 0.235684 1.52588e-05 0.015737
379 0.630965 0.235707 1.52588e-05 0.0160831
380 0.631637 0.235719 1.52588e-05 0.0160831
381 0.632312 0.23573 1.52588e-05 0.0160831
382 0.632984 0.235738 1.52588e-05 0.0160831
383 0.633653 0.235749 1.52588e-05 0.0160831
384 0.634319 0.235761 1.52588e-05 0.0160831
385 0.634983 0.235776 1.52588e-05 0.0160831
386 0.635644 0.235788 1.52588e-05 0.0160831
387 0.636307 0.235799 1.52588e-05 0.0160831
388 0.636965 0.235813 1.52588e-05 0.0160831
389 0.637621 0.23583 1.52588e-05 0.0163868
390 0.638278 0.235825 1.52588e-05 0.0163868
391 0.638937 0.235824 1.52588e-05 0.0163868
392 0.639586 0.235849 1.52588e-05 0.0163868
393 0.640242 0.235843 1.52588e-05 0.0163868
394 0.640889 0.235857 1.52588e-05 0.0163868
395 0.641544 0.235841 1.52588e-05 0.0163868
396 0.642183 0.235859 1.52588e-05 0.0163868
397 0.642832 0.235858 1.52588e-05 0.0163868
398 0.643472 0.235867 1.52588e-05 0.0163868
399 0.644115 0.235867 1.52588e-05 0.0166396
400 0.644759 0.235861 1.52588e-05 0.0166396
401 0.645396 0.235865 1.52588e-05 0.0166396
402 0.64603 0.235871 1.52588e-05 0.0166396
403 0.64667 0.235859 1.52588e-05 0.0166396
404 0.647301 0.235861 1.52588e-05 0.0166396
405 0.647931 0.235866 1.52588e-05 0.0166396
406 0.648562 0.23586 1.52588e-05 0.0166396
407 0.649192 0.235859 1.52588e-05 0.0166396
408 0.649821 0.235847 1.52588e-05 0.0166396
409 0.650442 0.235858 1.52588e-05 0.0168337
410 0.651073 0.23583 1.52588e-05 0.0168337
411 0.651699 0.235814 1.52588e-05 0.0168337
412 0.652318 0.235819 1.52588e-05 0.0168337
413 0.652939 0.235806 1.52588e-05 0.0168337
414 0.653553 0.235805 1.52588e-05 0.0168337
415 0.654172 0.235791 1.52588e-05 0.0168337
416 0.65479 0.235771 1.52588e-05 0.0168337
417 0.655401 0.235766 1.52588e-05 0.0168337
418 0.656012 0.235757 1.52588e-05 0.0168337
419 0.656621 0.235756 1.52588e-05 0.0169633
420 0.657232 0.235735 1.52588e-05 0.0169633
421 0.657836 0.235723 1.52588e-05 0.0169633
422 0.658441 0.235716 1.52588e-05 0.0169633
423 0.659046 0.235693 1.52588e-05 0.0169633
424 0.659648 0.235684 1.52588e-05 0.0169633
425 0.660252 0.235666 1.52588e-05 0.0169633
426 0.660847 0.235652 1.52588e-05 0.0169633
427 0.661442 0.235649 1.52588e-05 0.0169633
428 0.662038 0.235631 1.52588e-05 0.0169633
429 0.662634 0.23561 1.52588e-05 0.0170247
430 0.663231 0.235577 1.52588e-05 0.0170247
431 0.663822 0.235567 1.52588e-05 0.0170247
432 0.664415 0.235532 1.52588e-05 0.0170247
433 0.665002 0.235522 1.52588e-05 0.0170247
434 0.665581 0.23552 1.52588e-05 0.0170247
435 0.666171 0.235485 1.52588e-05 0.0170247
436 0.666752 0.235471 1.52588e-05 0.0170247
437 0.667333 0.235451 1.52588e-05 0.0170247
438 0.667919 0.235415 1.52588e-05 0.0170247
439 0.668495 0.235397 1.52588e-05 0.0173387
440 0.669067 0.235393 1.52588e-05 0.0173387
441 0.669652 0.235344 1.52588e-05 0.0173387
442 0.67022 0.235338 1.52588e-05 0.0173387
443 0.670801 0.235287 1.52588e-05 0.0173387
444 0.671368 0.235283 1.52588e-05 0.0173387
445 0.671936 0.235255 1.52588e-05 0.0173387
446 0.672505 0.235228 1.52588e-05 0.0173387
447 0.673073 0.235198 1.52588e-05 0.0173387
448 0.673634 0.235184 1.52588e-05 0.0173387
449 0.6742 0.235149 1.52588e-05 0.0177978
450 0.674764 0.235119 1.52588e-05 0.0177978
451 0.675323 0.235085 1.52588e-05 0.0177978
452 0.675883 0.235061 1.52588e-05 0.0177978
453 0.676441 0.235034 1.52588e-05 0.0177978
454 0.676995 0.23501 1.52588e-05 0.0177978
455 0.677552 0.234971 1.52588e-05 0.0177978
456 0.678106 0.234929 1.52588e-05 0.0177978
457 0.678651 0.234924 1.52588e-05 0.0177978
458 0.679205 0.234882 1.52588e-05 0.0177978
459 0.679759 0.234839 1.52588e-05 0.0182096
460 0.680302 0.23481 1.52588e-05 0.0182096
461 0.680845 0.234783 1.52588e-05 0.0182096
462 0.681395 0.23473 1.52588e-05 0.0182096
463 0.681928 0.234731 1.52588e-05 0.0182096
464 0.682476 0.234673 1.52588e-05 0.0182096
465 0.683015 0.234634 1.52588e-05 0.0182096
466 0.683552 0.234614 1.52588e-05 0.0182096
467 0.684092 0.234574 1.52588e-05 0.0182096
468 0.684626 0.234534 1.52588e-05 0.0182096
469 0.685159 0.2345 1.52588e-05 0.0185597
470 0.685689 0.234474 1.52588e-05 0.0185597
