step,time,R_avg,R_std,norm,energy,max_density
3470,34.7,0.96815,0.117809,0.999112,2.88409,0.00249819
3480,34.8,0.968123,0.117835,0.99911,2.88681,0.00254099
3490,34.9,0.968241,0.117669,0.999106,2.88909,0.00256943
3500,35,0.968013,0.118198,0.999103,2.89039,0.00258274
3510,35.1,0.968212,0.117785,0.999099,2.89321,0.00258105
3520,35.2,0.968097,0.118088,0.999098,2.89457,0.00256527
3530,35.3,0.968105,0.117914,0.999097,2.89744,0.00261089
3540,35.4,0.968154,0.117798,0.999093,2.8991,0.00264433
3550,35.5,0.968164,0.117794,0.999091,2.90106,0.00266134
3560,35.6,0.968202,0.117893,0.999089,2.90248,0.00266199
3570,35.7,0.968076,0.118061,0.999085,2.90427,0.00264728
3580,35.8,0.968195,0.117718,0.999082,2.90658,0.00262827
3590,35.9,0.968188,0.117677,0.99908,2.90793,0.00267877
3600,36,0.968205,0.117598,0.999078,2.91002,0.00271982
3610,36.1,0.968204,0.117693,0.999074,2.91113,0.00274914
3620,36.2,0.968231,0.117566,0.999074,2.91285,0.00276498
3630,36.3,0.968196,0.117637,0.999071,2.9141,0.00276635
3640,36.4,0.968069,0.118031,0.999068,2.91523,0.00275322
3650,36.5,0.968257,0.117534,0.999065,2.91683,0.00272644
3660,36.6,0.968159,0.117738,0.999059,2.91789,0.00272481
3670,36.7,0.968195,0.11775,0.99906,2.91929,0.0027558
3680,36.8,0.968,0.118188,0.999059,2.92,0.00277263
3690,36.9,0.968122,0.117848,0.999055,2.92191,0.00277482
3700,37,0.968133,0.117803,0.999053,2.92275,0.00276278
3710,37.1,0.968148,0.117834,0.999049,2.9239,0.0027376
3720,37.2,0.968144,0.117719,0.999048,2.92514,0.00270081
3730,37.3,0.968221,0.117537,0.999045,2.92615,0.00268281
3740,37.4,0.968213,0.117673,0.999042,2.92734,0.00269685
3750,37.5,0.968168,0.11772,0.99904,2.92828,0.00269773
3760,37.6,0.968096,0.118026,0.999038,2.92902,0.00268657
3770,37.7,0.968252,0.117555,0.999032,2.93029,0.00266887
3780,37.8,0.968128,0.118083,0.999032,2.93097,0.00264975
3790,37.9,0.968094,0.118182,0.999029,2.93182,0.00263214
3800,38,0.968163,0.117738,0.999025,2.93283,0.00267285
3810,38.1,0.968128,0.117811,0.999024,2.93361,0.00269579
3820,38.2,0.968033,0.118317,0.999021,2.93419,0.00269778
3830,38.3,0.968203,0.117521,0.999016,2.93541,0.00267693
3840,38.4,0.968334,0.117463,0.999017,2.93626,0.00263524
3850,38.5,0.968169,0.117801,0.999013,2.93683,0.00268615
3860,38.6,0.968147,0.117887,0.99901,2.93763,0.00271963
3870,38.7,0.968155,0.11767,0.999006,2.9387,0.00273179
3880,38.8,0.968098,0.118132,0.999007,2.93951,0.00272004
3890,38.9,0.968188,0.117726,0.999004,2.93999,0.0026831
3900,39,0.968181,0.117707,0.999001,2.94063,0.00263254
3910,39.1,0.968181,0.117755,0.998999,2.94147,0.00268083
3920,39.2,0.968158,0.117778,0.998995,2.94209,0.00270985
3930,39.3,0.96815,0.117869,0.998994,2.94246,0.00271613
3940,39.4,0.968225,0.117752,0.998991,2.94315,0.00269744
3950,39.5,0.968141,0.117952,0.998988,2.94374,0.00265273
3960,39.6,0.968204,0.117676,0.998984,2.94428,0.00261424
3970,39.7,0.968239,0.117681,0.998982,2.94474,0.00265987
3980,39.8,0.968182,0.117799,0.998982,2.94497,0.00268605
3990,39.9,0.968078,0.118144,0.998977,2.94512,0.00268961
4000,40,0.968234,0.117626,0.998975,2.94562,0.00266845
4010,40.1,0.968196,0.117793,0.998974,2.94589,0.00262147
4020,40.2,0.968192,0.117735,0.998969,2.94607,0.00263178
4030,40.3,0.968078,0.118136,0.998969,2.94599,0.00265519
4040,40.4,0.968191,0.117763,0.998964,2.9463,0.00265449
4050,40.5,0.968153,0.11785,0.998962,2.94619,0.00263327
4060,40.6,0.968146,0.11783,0.998961,2.94624,0.00261556
4070,40.7,0.968208,0.117681,0.998955,2.94619,0.0026345
4080,40.8,0.968223,0.117573,0.998953,2.94624,0.00275504
4090,40.9,0.968102,0.117919,0.998953,2.94631,0.00290102
4100,41,0.968235,0.117573,0.998949,2.94594,0.00301574
4110,41.1,0.96816,0.117891,0.998949,2.94584,0.00309574
4120,41.2,0.968169,0.117856,0.998945,2.9454,0.00314041
4130,41.3,0.968243,0.117591,0.998943,2.94538,0.00315201
4140,41.4,0.968163,0.117749,0.998939,2.94507,0.0031357
4150,41.5,0.968181,0.117751,0.998934,2.94469,0.0032247
4160,41.6,0.968106,0.117862,0.998934,2.94424,0.00337991
4170,41.7,0.968072,0.118074,0.998931,2.94315,0.0034978
4180,41.8,0.968236,0.117627,0.998927,2.94295,0.00357371
4190,41.9,0.968072,0.11793,0.998925,2.94226,0.00360559
4200,42,0.968244,0.117671,0.998923,2.94104,0.00359412
4210,42.1,0.968177,0.117682,0.998921,2.94093,0.00354245
4220,42.2,0.968102,0.118142,0.998919,2.93931,0.00368664
4230,42.3,0.968179,0.117715,0.998917,2.93931,0.00386524
4240,42.4,0.968122,0.117954,0.998913,2.93746,0.00399964
4250,42.5,0.968286,0.117431,0.998912,2.9373,0.0040839
4260,42.6,0.968199,0.117761,0.998908,2.93576,0.00411483
